,店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
11,別府郷土料理 油屋熊八亭 ,050-5484-2401,,大分県,別府市,中央町5-17,八重洲通ビルヂングB1,https://r.gnavi.co.jp/5adrn24b0000/,True
12,やぶから坊 ,050-5485-6634,,長崎県,諫早市,東本町2-3,松江駅南ビル2F,https://r.gnavi.co.jp/f358000/,True
13,台所料理たまい ‐宮前平駅すぐ‐ ,050-5493-8572,,神奈川県,川崎市,宮前区宮前平1-10-15,サンクBL2(サンクビル2)  5F,https://r.gnavi.co.jp/e9afprvg0000/,True
14,全席個室 隠れ家居酒屋 めしや 囲炉裏庵 南越谷店 ,050-5494-7426,,埼玉県,越谷市,南越谷1-11-9,アカオビルB1,https://r.gnavi.co.jp/a6f0ete60000/,True
15,しゃぶしゃぶ・日本料理 木曽路 星崎店,050-5484-5348,,愛知県,名古屋市,南区丹後通4-1-1,大内ビル2F,https://r.gnavi.co.jp/n011452/,True
16,鶏家 ,050-5485-1762,,福岡県,古賀市,駅東1-1-11,アクティオーレ南池袋6F,https://r.gnavi.co.jp/f575800/,True
17,MOTSUNABEYA つぼ吉 ,050-5487-1760,,愛媛県,今治市,松本町1-4-10,CLOVERSHOEIビル A棟1F,https://r.gnavi.co.jp/5ds6745a0000/,True
18,焼鳥・肉寿司・鍋食べ放題 個室居酒屋 とよはし劇場 豊橋本店 ,050-8883-5993,,愛知県,豊橋市,広小路1-1,エイトビル2F,https://r.gnavi.co.jp/sh0tgxnm0000/,True
19,どさんこ酒場 森町しげぞう 八重洲口店,050-5485-8505,,東京都,中央区,八重洲1-4-16,大和商住ビル2F,https://r.gnavi.co.jp/g426710/,True
20,十勝の旬菜旬魚×おばんざい 個室居酒屋 団欒 帯広駅前店,050-5494-7903,,北海道,帯広市,西一条南11-11-3,三島フジミビル2F,https://r.gnavi.co.jp/7ey46gsv0000/,True
21,IZAKAYA 時々jiji 観音寺店,050-5487-0831,,香川県,観音寺市,昭和町1-8-39,松岡ビル 1F,https://r.gnavi.co.jp/s9gevpa40000/,True
22,3 O．D．N stand‐trois‐ おでんスタンド トロワ ,0538-74-3605,,静岡県,袋井市,高尾町9-22,パティオさくら2F,https://r.gnavi.co.jp/bt6xeuhe0000/,True
23,串角 バークレー店,050-5488-7553,,沖縄県,浦添市,当山2-1-2,第四ビル1F,https://r.gnavi.co.jp/gdgkc9j60000/,True
24,居酒屋 くろべぇ ,050-5492-8052,,沖縄県,宮古島市,平良西里251-1,JIビル2F,https://r.gnavi.co.jp/kbh0jmuj0000/,True
25,お勝 ,050-5492-4644,,三重県,桑名市,参宮通26,駅前ビル1F,https://r.gnavi.co.jp/n222600/,True
26,美味彩菜櫓庵治 ,050-5484-1557,,佐賀県,伊万里市,新天町720-9,,https://r.gnavi.co.jp/atfvbek50000/,True
27,個室居酒屋 四季彩 ‐Shikisai‐ 八重洲店,050-5492-4544,,東京都,中央区,日本橋3-4-15,ダイムビル2-1F,https://r.gnavi.co.jp/s6wp3mku0000/,True
28,個室居酒屋 和咲美 ‐wasabi‐ 松江店 ,050-5486-6064,,島根県,松江市,朝日町469-2,1F,https://r.gnavi.co.jp/8gsjvtfp0000/,True
29,隠れ家個室居酒屋 蔵之介 大分駅前店 ,050-5494-8326,,大分県,大分市,末広町1-11-1,西川ビル1F,https://r.gnavi.co.jp/7u94z4v60000/,True
30,竹乃屋 仲原店,050-5485-2619,,福岡県,糟屋郡粕屋町,仲原2763-3,My Station Okazaki4F,https://r.gnavi.co.jp/f227306/,True
31,魚沼DINIING 楽 ,050-5484-3352,,新潟県,魚沼市,小出島124-60,東京宝石第二ビル6F,https://r.gnavi.co.jp/nbj43pwh0000/,True
32,味くら ,050-5484-3730,,静岡県,熱海市,田原本町8-5,,https://r.gnavi.co.jp/na0p700/,True
33,PR炭火焼鳥専門店 鳥吉 土浦店 ,050-5494-0901,,茨城県,土浦市,桜町1-16-20,2F,https://r.gnavi.co.jp/5sux67sy0000/?sc_type=area&sc_area=jp&sc_dsp=rs_299727,True
34,PR炭火伊酒屋 フォルトゥーナ ,080-9013-2702,,東京都,千代田区,有楽町1-2-9,アイガーデンテラス2F,https://r.gnavi.co.jp/5tcx5w510000/?sc_type=area&sc_area=jp&sc_dsp=rs_301067,True
35,PRくいもの屋わん 蒲田店,050-5488-7192,,東京都,豊島区,南池袋2-26-10,,https://r.gnavi.co.jp/494vgyg00000/?sc_type=area&sc_area=jp&sc_dsp=rs_298432,True
36,くずし割烹小町 ,050-5485-2565,,香川県,丸亀市,土器町東9-284,,https://r.gnavi.co.jp/s236700/,True
37,隠れ家もつ鍋居酒屋 風風 ,050-5489-1553,,沖縄県,中頭郡西原町,上原161-64,,https://r.gnavi.co.jp/6a4cva4h0000/,True
38,あつた辨天 ,050-5492-3293,,三重県,津市,羽所町351,,https://r.gnavi.co.jp/n916900/,True
39,PR鮮度にこだわる 新鮮鮮魚と完全個室 吉丸屋別邸 神田駅前,050-5485-3117,,東京都,葛飾区,新小岩1-24-5,,https://r.gnavi.co.jp/6t7dsf2j0000/?sc_type=area&sc_area=jp&sc_dsp=rs_301160,True
40,寿司政 ,050-5485-9949,,鳥取県,倉吉市,上井212-5,,https://r.gnavi.co.jp/rh3nza180000/,True
41,てっぺん ,050-5484-1731,,沖縄県,浦添市,内間4-17-1,,https://r.gnavi.co.jp/f550800/,True
42,やく味屋 ,050-5494-5035,,静岡県,三島市,一番町13-13,,https://r.gnavi.co.jp/4vf46mzz0000/,True
43,見附居酒屋 集 ,0237-55-6988,,山形県,村山市,楯岡五日町9-33,,https://r.gnavi.co.jp/mubv4tdj0000/,True
44,島唄居酒屋 喜山 ,050-5492-7959,,福岡県,福岡市,西区姪の浜6-1-34,,https://r.gnavi.co.jp/sju4r5u60000/,True
45,別府郷土料理 油屋熊八亭 ,050-5489-6169,,富山県,富山市,桜町1-4-10,,https://r.gnavi.co.jp/29hvcvdd0000/,True
46,やぶから坊 ,050-5494-3424,,愛知県,蒲郡市,拾石町本郷62,,https://r.gnavi.co.jp/1fy9w6yh0000/,True
47,台所料理たまい ‐宮前平駅すぐ‐ ,0254-20-2000,,新潟県,新発田市,中央町3-11-12,,https://r.gnavi.co.jp/257bx79j0000/,True
48,全席個室 隠れ家居酒屋 めしや 囲炉裏庵 南越谷店 ,0493-25-4688,,埼玉県,東松山市,箭弓町1-13-16,,https://r.gnavi.co.jp/e828090/,True
49,しゃぶしゃぶ・日本料理 木曽路 星崎店,022-363-1688,,宮城県,塩竈市,海岸通4-13,,https://r.gnavi.co.jp/t338101/,True
50,鶏家 ,06-6921-8902,,大阪府,大阪市,都島区東野田町5-9-3,,https://r.gnavi.co.jp/r58j9zy70000/,True
51,MOTSUNABEYA つぼ吉 ,050-5492-3609,,新潟県,小千谷市,城内1-6-9,,https://r.gnavi.co.jp/gsnnwdtn0000/,True
52,焼鳥・肉寿司・鍋食べ放題 個室居酒屋 とよはし劇場 豊橋本店 ,050-5489-0542,,福岡県,宗像市,宮田2-14-1,,https://r.gnavi.co.jp/gr3ghaxw0000/,True
53,どさんこ酒場 森町しげぞう 八重洲口店,050-5492-0710,,三重県,鈴鹿市,平田新町2-8,,https://r.gnavi.co.jp/3pa7vg510000/,True
54,十勝の旬菜旬魚×おばんざい 個室居酒屋 団欒 帯広駅前店,050-5485-6527,,岩手県,一関市,駅前40,,https://r.gnavi.co.jp/t043639/,True
55,IZAKAYA 時々jiji 観音寺店,050-5485-6407,,兵庫県,神戸市,灘区中原通3-2-5,,https://r.gnavi.co.jp/k692200/,True
56,3 O．D．N stand‐trois‐ おでんスタンド トロワ ,050-5487-2261,,愛知県,岡崎市,羽根町東荒子41-8,,https://r.gnavi.co.jp/m67j1yzp0000/,True
57,串角 バークレー店,0980-75-4858,,沖縄県,宮古島市,平良西里304,,https://r.gnavi.co.jp/4mhz6y6k0000/,True
58,居酒屋 くろべぇ ,050-5494-7648,,埼玉県,越谷市,南越谷1-11-9,,https://r.gnavi.co.jp/s55akrny0000/,True
59,お勝 ,0172-32-9110,,青森県,弘前市,鍛冶町2,,https://r.gnavi.co.jp/j2vs8dny0000/,True
60,美味彩菜櫓庵治 ,050-5488-1969,,福岡県,福岡市,中央区春吉3-12-1,,https://r.gnavi.co.jp/8ts29p820000/,True
61,個室居酒屋 四季彩 ‐Shikisai‐ 八重洲店,050-5484-8861,,大阪府,大阪市,天王寺区上本町6-4-18,,https://r.gnavi.co.jp/k893802/,True
62,個室居酒屋 和咲美 ‐wasabi‐ 松江店 ,0258-89-7040,,新潟県,小千谷市,本町2-2-17,,https://r.gnavi.co.jp/f8gmwvt30000/,True
63,隠れ家個室居酒屋 蔵之介 大分駅前店 ,050-5492-4343,,秋田県,能代市,柳町13-3,,https://r.gnavi.co.jp/4mdb709y0000/,True
64,竹乃屋 仲原店,050-5489-3909,,鳥取県,鳥取市,末広温泉町311,,https://r.gnavi.co.jp/7wgg7tmr0000/,True
65,魚沼DINIING 楽 ,050-5488-0201,,三重県,桑名市,福島925,,https://r.gnavi.co.jp/bz8yjbjv0000/,True
66,味くら ,050-5488-5828,,静岡県,浜松市,中央区萩丘2-21-4,,https://r.gnavi.co.jp/jh8asfcr0000/,True
67,PR炭火焼鳥専門店 鳥吉 土浦店 ,050-5484-3519,,東京都,千代田区,飯田橋3-10-9,,https://r.gnavi.co.jp/gb1t000/?sc_type=area&sc_area=jp&sc_dsp=rs_298783,True
